STATE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,36,U,U,F,0,4,N,L,E,C,T,2
CA,14,E,H,M,3,4,N,L,G,A,S,1
NC,43,U,U,M,3,4,N,L,E,C,R,2
CA,44,E,U,F,3,4,N,L,E,C,R,2
FL,16,E,H,F,3,12,N,L,F,A,S,2
other,40,U,U,F,0,4,N,L,F,C,T,2
IN,40,E,H,F,3,4,N,L,E,D,T,2
other,39,U,U,F,1,4,N,L,E,C,T,2
other,45,U,U,M,3,4,N,L,F,D,R,2
other,35,I,U,M,0,4,N,L,F,B,T,1
other,53,U,U,F,1,4,N,L,F,D,R,3
IN,17,E,U,M,3,4,N,L,F,B,S,2
other,51,U,H,F,3,4,N,L,D,D,R,3
other,40,U,U,M,0,12,N,L,G,B,T,2
other,35,E,H,M,3,4,N,L,F,D,T,1
CA,2,U,H,M,1,4,N,L,F,A,U,1
MI,20,E,U,M,3,4,N,L,F,A,S,2
IL,43,E,U,F,2,4,N,L,G,C,R,2
FL,16,E,H,F,3,4,N,L,F,B,S,2
NC,27,U,U,M,0,4,N,L,F,C,C,2
other,12,E,H,F,3,4,N,L,D,A,S,1
MI,43,E,U,M,3,4,N,L,G,C,R,2
FL,40,U,U,F,0,4,N,L,G,C,T,2
IL,22,U,U,F,0,4,N,L,E,A,C,1
other,35,E,H,F,3,4,N,L,E,A,T,1
CA,35,I,H,M,3,4,N,L,F,B,T,1
IL,13,E,H,F,2,4,N,L,G,A,S,1
MO,35,E,H,M,3,4,N,L,E,D,T,1
TX,35,E,H,F,3,4,N,L,E,A,T,1
IL,40,E,U,F,3,4,N,L,E,A,T,2
TX,35,U,U,M,0,4,N,L,D,A,T,1
MO,8,E,H,M,3,4,N,L,F,A,U,3
NC,25,E,U,F,3,4,N,L,G,B,C,2
FL,15,E,U,F,3,4,N,L,F,A,S,1
other,40,U,U,F,0,4,N,L,F,B,R,2
other,42,U,U,M,0,4,N,L,F,C,R,1
TX,12,E,H,M,3,4,N,L,G,B,S,1
CA,11,U,U,F,3,4,N,L,G,A,S,1
other,17,E,H,F,2,4,N,L,F,A,S,2
other,36,E,H,F,3,4,N,L,G,D,T,2
IL,28,I,U,F,0,4,N,L,G,B,C,2
MI,2,U,U,F,0,4,N,L,E,B,U,1
WA,14,E,H,M,3,4,N,L,F,A,S,1
FL,35,E,H,M,3,4,N,L,F,A,T,1
WI,18,E,H,F,3,4,N,L,F,B,S,2
other,24,E,H,F,3,4,Y,L,D,C,C,1
other,40,U,U,F,2,4,Y,L,E,C,R,2
IN,34,E,H,M,2,4,Y,L,F,C,T,1
WA,5,I,U,M,0,4,N,L,F,A,U,2
TX,31,E,H,M,2,4,N,L,F,C,C,3
IL,44,E,U,F,2,12,N,L,F,B,R,2
NC,32,E,H,F,3,4,N,L,F,B,C,3
NC,27,E,H,F,2,4,N,L,D,B,C,2
FL,18,E,H,F,3,4,N,L,E,A,S,2
IL,36,E,H,M,2,4,N,L,F,C,T,2
CA,46,U,U,F,0,4,Y,L,G,A,R,2
CA,3,U,U,F,2,4,N,L,E,A,U,1
other,50,E,H,F,2,4,N,L,F,D,R,3
TX,18,U,U,M,0,4,N,L,F,A,S,2
IN,44,E,H,F,2,4,Y,L,F,C,R,2
TX,40,E,H,M,3,4,Y,L,F,A,T,2
GA,44,E,H,F,2,4,N,L,F,B,R,2
other,53,U,H,M,2,4,N,L,F,D,R,3
TX,40,E,H,F,3,4,Y,L,F,A,T,2
GA,46,E,H,M,3,4,N,L,F,D,R,2
